球員,位置,攻擊得分,攔網得分,發球得分,接發,防守,舉球,總得分,match_id,隊伍類型,球員名稱
施宗諭 #10,MiddleBlocker,0,0,0,0,0,0,0,6069,主隊,施宗諭
蘇厚禎 #20,Libero,0,0,0,0,1,0,0,6069,主隊,蘇厚禎
許廷恩 #44,OppositeHitter,0,0,0,0,0,0,0,6069,主隊,許廷恩
睿克 #14,OutsideHitter,16,2,1,6,7,1,19,6070,客隊,睿克
思丹 #10,OppositeHitter,18,0,0,0,6,0,18,6070,客隊,思丹
陳建禎 #19,OutsideHitter,7,5,0,17,6,1,12,6070,客隊,陳建禎
馬亞拉 #17,MiddleBlocker,8,2,0,0,1,0,10,6070,客隊,馬亞拉
彭浩銘 #2,MiddleBlocker,6,2,0,0,0,0,8,6070,客隊,彭浩銘
阿巴西 #77,OutsideHitter,4,0,0,3,0,0,4,6070,客隊,阿巴西
周冠宇 #11,OppositeHitter,2,0,0,0,1,0,2,6070,客隊,周冠宇
禹良聖 #30,Setter,0,2,0,0,4,52,2,6070,客隊,禹良聖
呂慶鴻 #1,Libero,0,0,0,10,3,5,0,6070,客隊,呂慶鴻
陳玠廷 #7,Setter,0,0,0,0,3,17,0,6070,客隊,陳玠廷
鄭博升 #9,Libero,0,0,0,0,0,0,0,6070,客隊,鄭博升
張庭輔 #12,OutsideHitter,0,0,0,0,0,0,0,6070,客隊,張庭輔
柯宗甫 #13,MiddleBlocker,0,0,0,0,0,0,0,6070,客隊,柯宗甫
許睿恩 #15,MiddleBlocker,0,0,0,0,0,0,0,6070,客隊,許睿恩
林聖恩 #27,Libero,0,0,0,0,1,0,0,6070,客隊,林聖恩
盧清銓 #22,Setter,0,0,0,0,0,0,0,6070,客隊,盧清銓
馬可 #3,OutsideHitter,0,0,0,0,0,0,0,6070,客隊,馬可
高偉誠 #9,OppositeHitter,19,2,1,0,2,1,22,6070,主隊,高偉誠
雷貝洛 #8,OutsideHitter,15,3,0,11,6,0,18,6070,主隊,雷貝洛
曾祥銘 #14,MiddleBlocker,12,2,0,0,0,0,14,6070,主隊,曾祥銘
哈雷 #3,OutsideHitter,11,0,1,17,4,0,12,6070,主隊,哈雷
安德烈 #5,MiddleBlocker,4,4,0,2,1,0,8,6070,主隊,安德烈
郭宇祥 #12,Setter,1,1,1,0,2,49,3,6070,主隊,郭宇祥
楊子頡 #11,OutsideHitter,2,0,0,1,1,0,2,6070,主隊,楊子頡
趙宇陽 #7,Setter,0,0,0,0,2,23,0,6070,主隊,趙宇陽
簡顯銘 #10,Libero,0,0,0,12,8,1,0,6070,主隊,簡顯銘
范鍾坪圻 #18,Libero,0,0,0,0,7,0,0,6070,主隊,范鍾坪圻
劉少宇 #20,Setter,0,0,0,0,0,0,0,6070,主隊,劉少宇
陳冠中 #21,MiddleBlocker,0,0,0,0,0,0,0,6070,主隊,陳冠中
洪榮發 #99,OppositeHitter,0,0,0,0,0,0,0,6070,主隊,洪榮發
申承勳 #6,Setter,0,0,0,0,0,0,0,6070,主隊,申承勳
陳冠銘 #4,OppositeHitter,0,0,0,0,0,0,0,6070,主隊,陳冠銘
劉鴻敏 #7,OutsideHitter,15,1,1,4,1,0,17,6071,客隊,劉鴻敏
陳政錡 #4,MiddleBlocker,5,4,0,0,0,0,9,6071,客隊,陳政錡
豹爾文 #27,OppositeHitter,6,0,0,0,0,0,6,6071,客隊,豹爾文
甘茂宏 #9,MiddleBlocker,3,2,0,0,0,1,5,6071,客隊,甘茂宏
許美中 #56,MiddleBlocker,3,0,0,1,1,2,3,6071,客隊,許美中
阿薩力 #99,OutsideHitter,2,0,0,0,0,0,2,6071,客隊,阿薩力
